name,link,Default Branch,SHA,Stargazers Count,Forks Count,Maven,Gradle,Travis CI,Github Actions
smuyyh/SprintNBA,https://github.com/smuyyh/SprintNBA,master,f3572703e7d4217e7b0d7038618b2e7db733b8d2,625,247,,CommonLibrary/build.gradle;FlycoDialogLibrary/build.gradle;MaterialPtrLibrary/build.gradle;SwipeBackLibrary/build.gradle;VideoPlayerLibrary/build.gradle;app/build.gradle;build.gradle;settings.gradle;,,
java-online-course/java-basics-template,https://github.com/java-online-course/java-basics-template,master,d966d72197d57a17027814d017b7bfe6126819f6,2,249,pom.xml;,,,
caelum/agiletickets,https://github.com/caelum/agiletickets,master,7d37c303dd9d3d11b7b8a965d2a988d9ff831816,117,249,,,,
dianping/dianping-open-sdk,https://github.com/dianping/dianping-open-sdk,master,b382fae7c777f8a8b6e6470b51bb983867b90634,158,249,samples/dianping-java-samples/pom.xml;samples/oauth2-javaweb-samples/pom.xml;sdks/weixin/weixin-java/pom.xml;sdks/weixin/weixin-java/weixin-sdk/pom.xml;sdks/weixin/weixin-java/weixin-web/pom.xml;,,,
wepe/PPD_RiskControlCompetition,https://github.com/wepe/PPD_RiskControlCompetition,master,2f54876c69c35e54cd45fb5a0722af0f50d78c0f,333,249,,,,
gscokart/jbehave-core,https://github.com/gscokart/jbehave-core,master,8f84581618263adb84203ab77d5fac70cf6c1e83,1,250,distribution/pom.xml;examples/gameoflife/pom.xml;examples/noughtsandcrosses/pom.xml;examples/pom.xml;examples/spring-security/pom.xml;examples/trader-groovy/pom.xml;examples/trader-guice/pom.xml;examples/trader-i18n/pom.xml;examples/trader-pico/pom.xml;examples/trader-spring/pom.xml;examples/trader/pom.xml;jbehave-ant/pom.xml;jbehave-core/pom.xml;jbehave-groovy/pom.xml;jbehave-guice/pom.xml;jbehave-maven-plugin/pom.xml;jbehave-pico/pom.xml;jbehave-spring/pom.xml;pom.xml;,,,
nobunobuta/android_packages_apps_DeskClock,https://github.com/nobunobuta/android_packages_apps_DeskClock,eclair-backport,51da616822d74ed139a3127cbfa3f64e60d2164c,6,251,,,,
woyaowenzi/ACDD,https://github.com/woyaowenzi/ACDD,master,130e232a7b9cf9941fff2a0a594bed8702ed4aab,14,251,,OpenAtlasCore/build.gradle;OpenAtlasLauncher/build.gradle;build.gradle;settings.gradle;,.travis.yml;,
bh5k/spring_mvc_base,https://github.com/bh5k/spring_mvc_base,master,a75732371c99be59f3be26d4f664ba173d02cb82,83,252,pom.xml;,,,
VersoSolutions/CordovaClipboard,https://github.com/VersoSolutions/CordovaClipboard,master,03fe48b62411cbff22229ca13cc3ac8b282f7945,144,252,,,,
42BV/spring-test-mvc,https://github.com/42BV/spring-test-mvc,master,016379042dec8aaac496a02d5d09d41d08b42897,1,253,pom.xml;,,,
virtual-labs-archive/hydraulics-and-fluid-mechanics-iiith-ph2,https://github.com/virtual-labs-archive/hydraulics-and-fluid-mechanics-iiith-ph2,master,2127dc2dc362ec244ec818035560a51a27fd89bf,0,254,,,,
dat100hib/dat100-jplab11-startkode,https://github.com/dat100hib/dat100-jplab11-startkode,master,7136fab63563dc37ffb2f508f07711477981d6a8,1,254,,,,
GamingMesh/Jobs,https://github.com/GamingMesh/Jobs,master,a71d24bfbe86dec2de75cfa1df9edc1b727e9e89,94,255,pom.xml;,,,
xuyisheng/DesignSupportLibraryDemo,https://github.com/xuyisheng/DesignSupportLibraryDemo,master,3468f797839ac9ffaa4a90dc6d75bff369b8d35d,717,257,,app/build.gradle;build.gradle;settings.gradle;,,
BurstProject/burstcoin,https://github.com/BurstProject/burstcoin,master,efaf44781b0f5101a86356571f90c8a56652a1e5,79,257,,,,
freezy/android-xbmcremote,https://github.com/freezy/android-xbmcremote,master,9dd0d41d55639b846fad0d49fc316042962c3dbf,365,258,,,,
jponge/izpack,https://github.com/jponge/izpack,master,76c0126f9ce5d1aa5c9f025918cf1d8457ece15d,56,258,,,,
