     33 /home/runner/work/pipelines-java/pipelines-java/.git/objects/
     13 /home/runner/work/pipelines-java/pipelines-java/.git/hooks/
      6 /home/runner/work/pipelines-java/pipelines-java/optimizing-ci-builds-ci-analysis/step-details/
      4 /home/runner/work/pipelines-java/pipelines-java/target/maven-status/
      1 /home/runner/work/pipelines-java/pipelines-java/target/test-classes/
      1 /home/runner/work/pipelines-java/pipelines-java/target/;helloworld.war;
      1 /home/runner/work/pipelines-java/pipelines-java/optimizing-ci-builds-ci-analysis/;useful.csv;
      1 /home/runner/work/pipelines-java/pipelines-java/optimizing-ci-builds-ci-analysis/;steps.csv;
      1 /home/runner/work/pipelines-java/pipelines-java/optimizing-ci-builds-ci-analysis/;inotify-logs.csv;
      1 /home/runner/work/pipelines-java/pipelines-java/optimizing-ci-builds-ci-analysis/;directories.txt;
      1 /home/runner/work/pipelines-java/pipelines-java/.git/;tfJFr1y;
      1 /home/runner/work/pipelines-java/pipelines-java/.git/logs/
      1 /home/runner/work/pipelines-java/pipelines-java/.git/;index.lock;
      1 /home/runner/work/pipelines-java/pipelines-java/.git/;HEAD.lock;
      1 /home/runner/work/pipelines-java/pipelines-java/.git/;FETCH_HEAD;
      1 /home/runner/work/pipelines-java/pipelines-java/.git/;description;
      1 /home/runner/work/pipelines-java/pipelines-java/.git/;config.lock;
